GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProyectoResolucionSudoku,com.mycompany.proyectoresolucionsudoku,main,0,4,0,0,0,2,0,2,0,2
ProyectoResolucionSudoku,com.mycompany.proyectoresolucionsudoku,Sudoku,0,266,0,44,0,45,0,29,0,7
